,data,type
212,Bauan,Location
213,Bay City,Location
214,Bayonne,Location
215,Bayonne,Location
216,Bayside,Location
217,Beaumont,Location
218,Becancour,Location
219,Bedi,Location
220,Beihai,Location
221,Beijiao,Location
222,Beiliang,Location
223,Beipei,Location
224,Beira,Location
225,Beirut,Location
226,Bejaia,Location
227,Bekapai Terminal,Location
228,Bekker,Location
229,Belawan,Location
230,Belekeri,Location
231,Belem,Location
232,Belfast,Location
233,Belgorod-Dnestrovskiy,Location
234,Belgrade,Location
235,Belize City,Location
236,Belledune,Location
237,Bellingham,Location
238,Ben Nghe,Location
239,Ben Nghe,Location
240,Benchamas Terminal,Location
241,Bengbu,Location
242,Benghazi,Location
243,Bengkalis,Location
244,Bengkulu,Location
245,Beni Saf,Location
246,Benicia,Location
247,Benoa,Location
248,Berbera,Location
249,Berdiansk,Location
250,Bergen,Location
251,Bergkvara,Location
252,Bermeo,Location
253,Berwick-upon-Tweed,Location
254,Bethel,Location
255,Betio,Location
256,Beypore,Location
257,Bhavnagar,Location
258,Biak,Location
259,Bideford,Location
260,Big Creek,Location
261,Bilbao,Location
262,Bima,Location
263,Bima Terminal,Location
264,Binh Duong,Location
265,Binhai,Location
266,Bintulu,Location
267,Bird Port,Location
268,Bissau,Location
269,Bitung,Location
270,Bizerta,Location
271,Blang Lancang,Location
272,Blaye,Location
273,Blaye,Location
274,Bluff,Location
275,Blyth,Location
276,Boca Chica,Location
277,Boca Grande,Location
278,Bodo,Location
279,Bodrum,Location
280,Bolungarvik,Location
281,Boma,Location
282,Bong Sen,Location
283,Bonga Terminal,Location
284,Bongkot Terminal,Location
285,Bonifacio,Location
286,Bonny,Location
287,Bontang,Location
288,Boqueron,Location
289,Bordeaux,Location
290,Borg Harbour,Location
291,Boston,Location
292,Boston,Location
293,Botany Bay,Location
294,Botwood,Location
295,Boulogne,Location
296,Bourgas,Location
297,Bowen,Location
298,Braefoot Bay,Location
299,Braila,Location
300,Brake,Location
301,Brass Terminal,Location
302,Bratislava,Location
303,Bremen,Location
304,Bremerhaven,Location
305,Brest,Location
306,Bridgeport,Location
307,Bridgetown,Location
308,Bridgwater,Location
309,Bridport,Location
310,Brightlingsea,Location
311,Brighton,Location
312,Brindisi,Location
313,Brisbane,Location
314,Bristol,Location
315,Brixham,Location
316,Brofjorden,Location
317,Bromborough,Location
318,Bromborough,Location
319,Bronnoysund,Location
320,Broome,Location
321,Brownsville,Location
322,Bruges,Location
323,Brunsbuttel,Location
324,Brunswick,Location
325,Brussels,Location
326,Bualuang Terminal,Location
327,Buchanan,Location
328,Buckie,Location
329,Bucksport,Location
330,Buenaventura,Location
331,Buenos Aires,Location
332,Buffalo,Location
333,Bula,Location
334,Bullen Bay,Location
335,Bunbury,Location
336,Bundaberg,Location
337,Burela,Location
338,Burghead,Location
339,Burnie,Location
340,Burns Harbour,Location
341,Burnside,Location
342,Burriana,Location
343,Burton upon Stather,Location
344,Burutu,Location
345,Busan,Location
346,Bushire,Location
347,Busselton,Location
348,Busum,Location
349,Butinge Terminal,Location
350,Butzfleth,Location
351,Cabanas,Location
352,Cabedelo,Location
353,Cabinda,Location
354,Cabo Negro,Location
355,Cabo Negro,Location
356,Cabo Rojo,Location
357,Cabo San Lucas,Location
358,Cadiz,Location
359,Caen,Location
360,Cagayan de Oro,Location
361,Cagliari,Location
362,Caibarien,Location
363,Cairns,Location
364,Calabar,Location
365,Calais,Location
366,Calbuco,Location
367,Caldera,Location
368,Caldera,Location
369,Caleta Clarencia,Location
370,Caleta Clarencia,Location
371,Caleta Patillos,Location
372,Caleta Paula,Location
373,Callao,Location
374,Calvi,Location
375,Cam Pha,Location
376,Cam Ranh,Location
377,Camden,Location
378,Campana,Location
379,Campbeltown,Location
380,Can Tho,Location
381,Canakkale,Location
382,Canical,Location
383,Canuku Terminal,Location
384,Canvey Island,Location
385,Caofeidian,Location
386,Caofeidian,Location
387,Cap Haitien,Location
388,Cap Lopez,Location
389,Cape Cuvier,Location
390,Cape Flattery,Location
391,Cape Palmas,Location
392,Cape Town,Location
393,Caracas Bay,Location
394,Caraquet,Location
395,Carboneras,Location
396,Cardenas,Location
397,Cardiff,Location
398,Caripito,Location
399,Carrickfergus,Location
400,Cartagena,Location
401,Cartagena,Location
402,Carupano,Location
403,Casablanca,Location
404,Casilda,Location
405,Castellammare di Stabia,Location
406,Castellon,Location
407,Castle Island,Location
408,Castletown,Location
409,Castletownbere,Location
410,Castries,Location
411,Castro,Location
412,Catalina,Location
413,Catania,Location
414,Catherine Hill Bay,Location
415,Catoosa,Location
416,Caucedo,Location
417,Cayman Brac,Location
418,Cayo Arcas Terminal,Location
419,Cayo Moa,Location
420,Cebu,Location
421,Ceiba Terminal,Location
422,Celukan Bawang,Location
423,Cendor Terminal,Location
424,Cesme,Location
425,Ceuta,Location
426,Ceyhan,Location
427,Chacabuco,Location
428,Chaguaramas,Location
429,Chah Bahar,Location
430,Chalkis,Location
431,Chan May,Location
432,Chanaral,Location
433,Chandler,Location
434,Changde,Location
435,Changsha,Location
436,Changshu,Location
437,Changzhou,Location
438,Chaozhou,Location
439,Charco Azul,Location
440,Charleston,Location
441,Charlevoix,Location
442,Charlottetown,Location
443,Chatham,Location
444,Chatham,Location
445,Chemainus,Location
446,Chenglingji,Location
447,Chennai,Location
448,Cherbourg,Location
449,Cherchell,Location
450,Chernomorsk,Location
451,Chi Lang Terminal,Location
452,Chi Linh Terminal,Location
453,Chiba,Location
454,Chicago,Location
455,Chichiriviche,Location
456,Chimbote,Location
457,Chioggia,Location
458,Chios,Location
459,Chiriqui Grande,Location
460,Chittagong,Location
461,Chiwan,Location
462,Chizhou,Location
463,Chongjin,Location
464,Chongming,Location
465,Chongqing,Location
466,Christiansted,Location
467,Chuansha,Location
468,Churchill,Location
469,Cienfuegos,Location
470,Cigading,Location
471,Cilacap,Location
472,Cinta Terminal,Location
473,Cirebon,Location
474,Ciro Marina,Location
475,Ciudad Bolivar,Location
476,Ciudad del Carmen,Location
477,Civitavecchia,Location
478,Claveria,Location
479,Cleveland,Location
480,Cliffe,Location
481,Coatzacoalcos,Location
482,Coco Solo,Location
483,Coffs Harbour,Location
484,Colachel,Location
485,Colchester,Location
486,Cold Bay,Location
487,Coleraine,Location
488,Collingwood,Location
489,Collo,Location
490,Cologne,Location
491,Colombo,Location
492,Colonia,Location
493,Columbus (Georgia),Location
494,Columbus (MIssissippi),Location
495,Come by Chance,Location
496,Comeau Bay,Location
497,Comodoro Rivadavia,Location
498,Conakry,Location
499,Concarneau,Location
500,Concepcion del Uruguay,Location
501,Conchan,Location
502,Conneaut,Location
503,Constantza,Location
504,Contrecoeur,Location
505,Cooktown,Location
506,Coos Bay,Location
507,Copenhagen,Location
508,Coquimbo,Location
509,Corcubion,Location
510,Cordova,Location
511,Corfu,Location
512,Corinto,Location
513,Cork,Location
514,Corner Brook,Location
515,Cornwall,Location
516,Coronel,Location
517,Corpach,Location
518,Corpus Christi,Location
519,Corral,Location
520,Corunna,Location
521,Coryton,Location
522,Cossack Pioneer Terminal,Location
523,Cotonou,Location
524,Cove Point,Location
525,Covenas,Location
526,Cowes,Location
527,Cowichan Bay,Location
528,Cozumel,Location
529,Craig,Location
530,Creeksea,Location
531,Cristobal,Location
532,Crofton,Location
533,Crotone,Location
534,Cua Cam,Location
535,Cuddalore,Location
536,Cul de Sac,Location
537,Cumana,Location
538,Cumarebo,Location
539,Currimao,Location
540,Cutuco,Location
541,Cuxhaven,Location
542,Da Chan Bay,Location
543,Da Nang,Location
544,Dabo,Location
545,Daesan,Location
546,Dafeng,Location
547,Dahej,Location
548,Dakar,Location
549,Dakhla (Western Sahara),Location
550,Dalhousie,Location
551,Dalia Terminal,Location
552,Dalian,Location
553,Dalvik,Location
554,Dam Mon,Location
555,Damietta,Location
556,Dammam,Location
557,Dampier,Location
558,Dandong,Location
559,Dar es Salaam,Location
560,Darica,Location
561,Darlowo,Location
562,Dartmouth,Location
563,Darwin,Location
564,Das Island,Location
565,Davao,Location
566,Davisville,Location
567,De Kastri,Location
568,Decatur,Location
569,Degema,Location
570,Degerhamn,Location
571,Degrad des Cannes,Location
572,Del Guazu,Location
573,Delfzijl,Location
574,Dellys,Location
575,Den Helder,Location
576,Derby,Location
577,Derince,Location
578,Derna,Location
579,Detroit,Location
580,Devonport,Location
581,Dhamra,Location
582,Dhekelia,Location
583,Dhuba,Location
584,Diamante,Location
585,Dieppe,Location
586,Digang,Location
587,Dikili,Location
588,Diliskelesi,Location
589,Djen Djen,Location
590,Djeno Terminal,Location
591,Djibouti,Location
592,Djupivogur,Location
593,Dneprobugskiy,Location
594,Doan Xa,Location
595,Doha,Location
596,Doha,Location
597,Dong Nai,Location
598,Dong Thap,Location
599,Donges,Location
600,Dongguan,Location
601,Donghae,Location
602,Donglian,Location
603,Dongshan,Location
604,Dongtai,Location
605,Dordrecht,Location
606,Dortyol,Location
607,Dos Bocas,Location
608,Douala,Location
609,Douglas,Location
610,Douro,Location
611,Dover,Location
612,Drammen,Location
613,Drift River Terminal,Location
614,Drogheda,Location
615,Dublin,Location
616,Dubrovnik,Location
617,Duisburg,Location
618,Dulang Terminal,Location
619,Duluth,Location
620,Dumaguete,Location
621,Dumai,Location
622,Dun Laoghaire,Location
623,Duncan Bay,Location
624,Dundalk,Location
625,Dundee,Location
626,Dunedin,Location
627,Dunkirk,Location
628,Dunoon,Location
629,Duqm,Location
630,Durban,Location
631,Durres,Location
632,Dutch Harbour,Location
633,Dzaoudzi,Location
634,East London,Location
635,Eastham,Location
636,Eastland Port,Location
637,Eastport,Location
638,Ebome Terminal,Location
639,Eckernforde,Location
640,Eddystone,Location
641,Eden,Location
642,Eemshaven,Location
643,Egersund,Location
644,Eilat,Location
645,El Bluff,Location
646,El Dekheila,Location
647,El Guamache,Location
648,El Jadida,Location
649,El Palito,Location
650,El Segundo Terminal,Location
651,El Tablazo,Location
652,El Tur,Location
653,Elblag,Location
654,Eleusis,Location
655,Ellesmere Port,Location
656,Elsfleth,Location
657,Elsinore,Location
658,Emden,Location
659,Ennore,Location
660,Ensenada,Location
661,Enstedvaerkets Havn,Location
662,Erawan Terminal,Location
663,Eregli(Black Sea),Location
664,Eregli(Sea of Marmara),Location
665,Erie,Location
666,Eriskay,Location
667,Es Sider Terminal,Location
668,Esbjerg,Location
669,Escravos Terminal,Location
670,Eskifjordur,Location
671,Esmeraldas,Location
672,Esperance,Location
673,Espevik,Location
674,Essungo Terminal,Location
675,Etajima,Location
676,Etame Terminal,Location
677,Etang de Berre,Location
678,Etang de Berre,Location
679,Everett,Location
680,Evyap,Location
681,Exmouth,Location
682,Ezhou,Location
683,Faaborg,Location
684,Fak Fak,Location
685,Fakse Ladeplads,Location
686,Falkenberg,Location
687,Fall River,Location
688,Falmouth,Location
689,Famagusta,Location
690,Fangcheng,Location
691,Fao,Location
692,Faro,Location
693,Farsund,Location
694,Fateh Terminal,Location
695,Fatsa,Location
696,Fawley,Location
697,Fawley,Location
698,Fecamp,Location
699,Felixstowe,Location
700,Fengjie,Location
701,Fengxian,Location
702,Fenit,Location
703,Fernandina,Location
704,Ferndale,Location
705,Ferrol,Location
706,Fethiye,Location
707,Figueira da Foz,Location
708,Finike,Location
709,Finnart,Location
710,Fishguard,Location
711,Fiumicino,Location
712,Flaam,Location
713,Fleetwood,Location
714,Flekkefjord,Location
715,Flensburg,Location
716,Flixborough,Location
717,Floro,Location
718,Flushing,Location
719,Flying Fish Cove,Location
720,Folkestone,Location
721,Follonica,Location
722,Forcados Terminal,Location
723,Forestville,Location
724,Formia,Location
725,Forno,Location
726,Fort de France,Location
727,Fort Pierce,Location
728,Fortaleza,Location
729,Fos,Location
730,Fos,Location
731,Fosdyke,Location
732,Foshan,Location
733,Fowey,Location
734,Frankfurt,Location
735,Fraser River Port,Location
736,Fraserburgh,Location
737,Fray Bentos,Location
738,Fredericia,Location
739,Frederikshavn,Location
740,Frederikssund,Location
741,Frederiksted,Location
742,Frederiksvaerk,Location
743,Freeport,Location
744,Freeport,Location
745,Freeport,Location
746,Freetown,Location
747,Fremantle,Location
748,Frontera,Location
749,Fuglafjordur,Location
750,Fuik Bay,Location
751,Fujairah,Location
752,Fujin,Location
753,Fukui,Location
754,Fukuyama,Location
755,Fuling,Location
756,Funafuti,Location
757,Funakawa,Location
758,Funchal,Location
759,Fushiki-Toyama,Location
760,Futila Terminal,Location
761,Fuzhou,Location
762,Gabes,Location
763,Gaeta,Location
764,Galatz,Location
765,Galeota Point Terminal,Location
766,Galle,Location
767,Gallipoli,Location
768,Galveston,Location
769,Galway,Location
770,Gamagori,Location
771,Gamba Terminal,Location
772,Gandia,Location
773,Gangavaram,Location
774,Ganzhou,Location
775,Garlieston,Location
776,Garrucha,Location
777,Garston,Location
778,Gaspe,Location
779,Gdansk,Location
780,Gdynia,Location
781,Gebig,Location
782,Gebze,Location
783,Geelong,Location
784,Gefle,Location
785,Geisum Terminal,Location
786,Gela,Location
787,Gelendzhik,Location
788,Gelibolu,Location
789,Gemlik,Location
790,General San Martin,Location
791,General Santos,Location
792,Genk,Location
793,Genoa,Location
794,George Town,Location
795,Georgetown,Location
796,Georgetown,Location
797,Georgetown,Location
798,Georgetown (Ascension Is.),Location
799,Geraldton,Location
800,Ghazaouet,Location
801,Ghent,Location
802,Gibraltar,Location
803,Gijon,Location
804,Gilimanuk,Location
805,Gioia Tauro,Location
806,Girassol Terminal,Location
807,Giresun,Location
808,Girvan,Location
809,Gizan,Location
810,Gizo,Location
811,Gladstone,Location
812,Glasgow,Location
813,Glasson Dock,Location
814,Glensanda,Location
815,Glomfjord,Location
816,Gloucester,Location
817,Gloucester,Location
818,Gluckstadt,Location
819,Gocek,Location
820,Golfito,Location
821,Goole,Location
822,Goose Bay,Location
823,Gorontalo,Location
824,Gothenburg,Location
825,Gourock,Location
826,Gove,Location
827,Graasten,Location
828,Grand Bank,Location
829,Grand Haven,Location
830,Grand Turk,Location
831,Grangemouth,Location
832,Granton,Location
833,Granville,Location
834,Grays Harbour,Location
835,Great Yarmouth,Location
836,Greater Plutonio Terminal,Location
837,Green Bay,Location
838,Greenock,Location
839,Greenore,Location
840,Greenville,Location
841,Greenville,Location
842,Gregorio,Location
843,Gregorio,Location
844,Grenaa,Location
845,Grenivik,Location
846,Gresik,Location
847,Greymouth,Location
848,Griffin Terminal,Location
849,Grimsby,Location
850,Grimstad,Location
851,Grindavik,Location
852,Groningen,Location
853,Gros Cacouna,Location
854,Grove Wharf,Location
855,Grovehurst Jetty,Location
856,Grundarfjordur,Location
857,Grundartangi,Location
858,Grundartangi,Location
859,Guamare Terminal,Location
860,Guangdong Terminal,Location
861,Guangzhou,Location
862,Guanica,Location
863,Guanta,Location
864,Guaranao Bay,Location
865,Guarello,Location
866,Guayabal,Location
867,Guayacan,Location
868,Guayanilla,Location
869,Guayaquil,Location
870,Guaymas,Location
871,Guicheng,Location
872,Guimaras Island,Location
873,Gulf Gateway Terminal,Location
874,Gulfport,Location
875,Gulluk,Location
876,Gunness Wharf,Location
877,Gunsan,Location
878,Gunung Sitoli,Location
879,Gustavia,Location
880,Gustavus,Location
881,Gwadar,Location
882,Gwangyang,Location
883,Gwangyang,Location
884,Gythion,Location
885,Haavik,Location
886,Hachinohe,Location
887,Hadera,Location
888,Haderslev,Location
889,Hadsund,Location
890,Haeju,Location
891,Hafnarfjordur,Location
892,Haifa,Location
893,Haikou,Location
894,Haimen,Location
895,Haines,Location
896,Haiphong,Location
897,Hakata,Location
898,Hakodate,Location
899,Halden,Location
900,Haldia,Location
901,Halifax,Location
902,Hallstavik,Location
903,Halmstad,Location
904,Halul Island Terminal,Location
905,Hamada,Location
906,Hambantota,Location
907,Hamble,Location
908,Hamble,Location
909,Hamburg,Location
910,Hamilton,Location
911,Hamilton,Location
912,Hamina,Location
913,Hammerfest,Location
914,Hamrawein,Location
915,Hamriyah,Location
916,Hangzhou,Location
917,Hanko,Location
918,Hannan,Location
919,Hanstholm,Location
920,Hansweert,Location
921,Haparanda,Location
922,Haraholmen,Location
923,Harbin,Location
924,Hargshamn,Location
925,Harlingen,Location
926,Harlingen,Location
927,Harstad,Location
928,Hartlepool,Location
929,Harwich,Location
930,Hasle,Location
931,Hastings,Location
932,Haugesund,Location
933,Havana,Location
934,Havre St. Pierre,Location
935,Hay Point,Location
936,Haydarpasa,Location
937,Hazira,Location
938,Hechuan,Location
939,Hefei,Location
940,Heianza,Location
941,Heihe,Location
942,Heiligenhafen,Location
943,Helsingborg,Location
944,Helsinki,Location
945,Hemiksem,Location
946,Hengyang,Location
947,Hereke,Location
948,Hernosand,Location
949,Hessle,Location
950,Heysham,Location
951,Hibi,Location
952,Higashi-Harima,Location
953,Hikari,Location
954,Hilo,Location
955,Himekawa,Location
956,Hirao,Location
957,Hirohata,Location
958,Hirohata,Location
959,Hiroshima,Location
960,Hirtshals,Location
961,Hitachi,Location
962,Hitachinaka,Location
963,Ho Chi Minh City,Location
964,Hobart,Location
965,Hobro,Location
966,Hodeidah,Location
967,Hoganas,Location
968,Holmestrand,Location
969,Holyhead,Location
970,Holyrood,Location
971,Homer,Location
972,Hon Khoi,Location
973,Honfleur,Location
974,Hong Kong,Location
975,Hongay,Location
976,Honiara,Location
977,Honolulu,Location
978,Hook of Holland,Location
979,Hopa,Location
980,Hoping,Location
981,Hormuz Terminal,Location
982,Hornefors,Location
983,Horsens,Location
984,Horta,Location
985,Horten,Location
986,Hososhima,Location
987,Hound Point,Location
988,Houston,Location
989,Hovensa,Location
990,Howdendyke,Location
991,Hoyanger,Location
992,Huaian,Location
993,Huainan,Location
994,Hualien,Location
995,Huanghua,Location
996,Huangshi,Location
997,Huarmey,Location
998,Huasco,Location
999,Huatulco,Location
1000,Hudiksvall,Location
1001,Huelva,Location
1002,Huizhou,Location
1003,Huizhou Terminal,Location
1004,Hull,Location
1005,Huludao,Location
1006,Humen,Location
1007,Hungnam,Location
1008,Hunterston,Location
1009,Hurghada,Location
1010,Huron,Location
1011,Husavik,Location
1012,Husnes,Location
1013,Husum,Location
1014,Hvammstangi,Location
1015,Hvar,Location
1016,Hydaburg,Location
1017,Iberia,Location
1018,Ibicuy,Location
1019,Ibiza,Location
1020,Icdas,Location
1021,Idku,Location
1022,Igarka,Location
1023,Iggesund,Location
1024,Igoumenitsa,Location
1025,Ile Rousse,Location
1026,Ilheus,Location
1027,Iligan,Location
1028,Illichivsk,Location
1029,Ilo,Location
1030,Iloilo,Location
1031,Ilulissat,Location
1032,Ima Terminal,Location
1033,Imabari,Location
1034,Imari,Location
1035,Imatra,Location
1036,Imbituba,Location
1037,Immingham,Location
1038,Imperia,Location
1039,Ince,Location
1040,Incheon,Location
1041,Inebolu,Location
1042,Inkoo,Location
1043,Innisfail,Location
1044,Invergordon,Location
1045,Invergordon,Location
1046,Inverness,Location
1047,Ipswich,Location
1048,Iquique,Location
1049,Iquitos,Location
1050,Iraklion,Location
1051,Isaac's Harbour,Location
1052,Isabel,Location
1053,Isabela,Location
1054,Isabela de Sagua,Location
1055,Isafjordur,Location
1056,Ishikariwan Shinko,Location
1057,Ishinomaki,Location
1058,Iskenderun,Location
1059,Isle of Grain,Location
1060,Isle of Whithorn,Location
1061,Istanbul,Location
1062,Itajai,Location
1063,Itaqui,Location
1064,Itea,Location
1065,Itzehoe,Location
1066,Iwakuni,Location
1067,Izmail,Location
1068,Izmir,Location
1069,Izmit,Location
1070,Izola,Location
1071,Jacksonville,Location
1072,Jafrabad,Location
1073,Jakarta,Location
1074,Jambi,Location
1075,Jamestown (St. Helena Is.),Location
1076,Jamnagar Terminal,Location
1077,Janghang,Location
1078,Janghang,Location
1079,Jasmine Venture Terminal,Location
1080,Jawaharlal Nehru,Location
1081,Jayapura,Location
1082,Jebel Ali,Location
1083,Jebel Dhanna Terminal,Location
1084,Jeddah,Location
1085,Jeffersonville,Location
1086,Jeju,Location
1087,Jiamusi,Location
1088,Jiangmen,Location
1089,Jiangyin,Location
1090,Jiangyin,Location
1091,Jimenez,Location
1092,JIngzhou,Location
1093,Jinhae,Location
1094,Jinshan,Location
1095,Jinshi,Location
1096,Jinzhou,Location
1097,Jiujiang,Location
1098,Jiujiang,Location
1099,Joensuu,Location
1100,Jolo,Location
1101,Jorf Lasfar,Location
1102,Jose Ignacio Terminal,Location
1103,Jose Panganiban,Location
1104,Joutseno,Location
1105,Juaymah Terminal,Location
1106,Jubail (Commercial Port),Location
1107,Jubail (Industrial Port),Location
1108,Jucaro,Location
1109,Juneau,Location
1110,Jurong Port,Location
1111,Kaarsto,Location
1112,Kagoshima,Location
1113,Kahului,Location
1114,Kake,Location
1115,Kakinada,Location
1116,Kakogawa,Location
1117,Kalajoki,Location
1118,Kalama,Location
1119,Kalamaki,Location
1120,Kalamata,Location
1121,Kalecik,Location
1122,Kali Limenes,Location
1123,Kalianget,Location
1124,Kalingapatnam,Location
1125,Kaliningrad,Location
1126,Kalix,Location
1127,Kalmar,Location
1128,Kalundborg,Location
1129,Kalymnos,Location
1130,Kamaishi,Location
1131,Kamsar,Location
1132,Kanazawa,Location
1133,Kanda,Location
1134,Kandalaksha,Location
1135,Kandla,Location
1136,Kangerluarsoruseq,Location
1137,Kangerlussuaq,Location
1138,Kangilinnguit,Location
1139,Kanokawa,Location
1140,Kantvik,Location
1141,Kaohsiung,Location
1142,Kaolack,Location
1143,Kapellskar,Location
1144,Kappeln,Location
1145,Karachi,Location
1146,Karaikal,Location
1147,Karatsu,Location
1148,Karavostassi,Location
1149,Karavostassi,Location
1150,Karlshamn,Location
1151,Karlskrona,Location
1152,Karlsruhe,Location
1153,Karlstad,Location
1154,Karumba,Location
1155,Karwar,Location
1156,Kasaoka,Location
1157,Kashima,Location
1158,Kashiwazaki,Location
1159,Kasim Terminal,Location
1160,Kaskinen,Location
1161,Katakolon,Location
1162,Kaunakakai,Location
1163,Kavala,Location
1164,Kavieng,Location
1165,Kavkaz,Location
1166,Kawaihae,Location
1167,Kawasaki,Location
1168,Keadby,Location
1169,Keelung,Location
1170,Keflavik,Location
1171,Kehl,Location
1172,Kemaman,Location
1173,Kemi,Location
1174,Kendari,Location
1175,Kenitra,Location
1176,Kenosha,Location
1177,Kepez,Location
1178,Kerawalapitiya Terminal,Location
1179,Kerch,Location
1180,Kerteh Terminal,Location
1181,Kerteminde,Location
1182,Kesennuma,Location
1183,Ketchikan,Location
1184,Key West,Location
1185,Khalifa Bin Salman Port,Location
1186,Khanom,Location
1187,Kharg Island,Location
1188,Khatanga,Location
1189,Kherson,Location
1190,Kholmsk,Location
1191,Khoms,Location
1192,Khor al Amaya Terminal,Location
1193,Khor Fakkan,Location
1194,Khorramshahr,Location
1195,Kiel,Location
1196,Kieta,Location
1197,Kiire,Location
1198,Kijang,Location
1199,Kikeh Terminal,Location
1200,Kikuma,Location
1201,Kiliya,Location
1202,Killybegs,Location
1203,Kilroot,Location
1204,Kilrush,Location
